Date,Open,High,Low,Close,Adj Close,Volume,News,Tomorrow,Target
2006-12-01,29.23,29.299999,28.9,29.120001,29.120001,72257000,,29.345,0.008419261313045823
2006-12-04,29.23,29.52,29.17,29.33,29.33,55123400,"The Retooling of a Search Engine : Ask.com is introducing AskCity, a service that integrates maps with information about local businesses, restaurants, listings and reviews.What’s Wrong With My Voting Machine? : To the long list of recent Election Day horrors, from butterfly ballots to six-hour lines, add ""vote flipping.""",29.2150005,-0.004430039188958901
2006-12-05,29.360001,29.4,29.030001,29.129999,29.129999,45606000,,29.0,-0.007359250259126204
2006-12-06,29.1,29.129999,28.870001,28.99,28.99,48564100,"Combat as Usual? Not With These Games : A few developers have gone beyond creating games just like the ones that made money last year and the year before.Duking It Out for a Houseful of Smiles : Microsoft and Sony are duking it out for dominance at the top end of the video game business.Combat as Usual? Not With These Games : THIS year, thousands of people lined up to buy the latest gaming consoles as dozens of politicians lined up to bemoan what they said were the harmful effects of violent video games on children.     The new consoles, Nintendo's Wii and Sony's PlayS...Yes, It’s a Spoof, but It’s Also Selling Something : Advertising agencies have turned to spoofing their own industry to attract viewers long enough to deliver a new message.Spam Doubles, Finding New Ways to Deliver Itself : The surge has left the antispam industry scrambling to develop new techniques to keep up.2 Hired to Overhaul Marketing Leave Their Posts at Wal-Mart : The departures coincide with slowing sales growth and several marketing stumbles at Wal-Mart, like designer-inspired fashions that have failed to sell.A Capacitor to Set Off the Blue in Your Eyes : Folks who are seeking up-to-the-nanosecond styles can choose from a growing list of jewelry laden with technology. The DVD Tackles the 21st Century : Comparing two new high-definition discs. And the winner is ...Surprising Skills : With no one looking, gadgets learned to connect the dots.",28.9399995,-0.0020689827586207743
2006-12-07,28.959999,29.07,28.809999,28.85,28.85,46831100,Vista Is Ready. Are You? : Why it might be a better idea to wait until you need a new PC to get the latest version of Windows. ,29.0999995,0.005528680123163099
2006-12-08,28.82,29.4,28.799999,29.4,29.4,108854900,,29.4300005,0.011340240744677654
2006-12-11,29.190001,29.75,29.110001,29.540001,29.540001,107712000,,29.424999,-0.00016994563081973446
2006-12-12,29.559999,29.629999,29.219999,29.43,29.43,68529400,"Take the Hotel Room Home : Hotels have become miniature malls, putting a price tag on nearly whatever you see, hear, taste, touch and smell during your stay. Google to Issue Transferable Stock Options : The move will enable Google's employees to earn more money from stock options.",29.46,0.0011894987659983869
2006-12-13,29.6,29.6,29.32,29.549999,29.549999,46002500,Google to Offer Variation on Stock Options : Google said that it would grant employees transferable stock options that could be sold as well as exercised.,29.799999999999997,0.011541072640868899
2006-12-14,29.540001,30.08,29.52,30.07,30.07,85866500,,30.1300005,0.011073842281879243
2006-12-15,30.139999,30.23,30.030001,30.190001,30.190001,102783700,"Law Firms’ Merger Will Expand Reach : Kirkpatrick & Lockhart Nicholson Graham and Preston Gates & Ellis agreed to merge yesterday to form one of the nation’s largest law firms, with 1,400 lawyers and expected 2007 revenue of $750 million.Nintendo Tries to Rein in the ‘Whee!’ of Its Wii : Nintendo is taking steps to keep users of its new console from damaging televisions, ceiling fans and bystanders.",30.020000500000002,-0.0036508462719739843
2006-12-18,30.190001,30.26,29.780001,29.889999,29.889999,56986800,,29.8500005,-0.005662891311410956
2006-12-19,29.709999,30.17,29.530001,29.99,29.99,53822100,"Finally, a Way to Catch a Flight Without Shedding Your Shoes : The T.S.A. has approved a machine that scans air passengers’ shoes, while on their feet, for suspicious metal and signs of potentially explosive material.",30.104999499999998,0.008542679923908114
2006-12-20,29.99,30.24,29.969999,30.09,30.09,31202100,Google Steps More Boldly Into PayPal&#8217;s Territory : Google’s aggressive promotion of its Checkout payment service has helped speed its adoption by online merchants.The Bonus Army : To see the embodiment of our economic system in action — for better and worse — one need look no farther than Goldman Sachs.,30.014999,-0.0029895532800124913
2006-12-21,30.129999,30.139999,29.889999,29.98,29.98,32270500,,29.740001,-0.009162019295752777
2006-12-22,29.83,29.860001,29.620001,29.639999,29.639999,37971700,,29.7,-0.0013450234920974191
2006-12-26,29.530001,30.0,29.4,29.99,29.99,37098300,"Addressing a Shortage of Hotel Rooms, Not People : Demand for hotel rooms is soaring in India, pushing peak season rates for basic rooms into the stratosphere.Verizon to Allow Ads on Its Mobile Phones : The move is a symbolic advance toward the widespread appearance of marketing messages on the smallest of screens.",30.0199995,0.010774393939394056
