ticker,headline,date,eventRet,perc_sent,lstm,vader_sent
AMZN,"Whole Foods (WFMI) -5.2% following a downgrade to ""hold"" from ""buy"" at Jefferies. Gas prices are the culprit, writes Scott Mushkin, claiming at $4/gallon, even the affluent who patronize the upscale grocery begin to take notice. Whole Foods announces earnings after Wednesday's close.",2011-05-02,0.0312690999697731,0,1,0.2115
NFLX,"Netflix (NFLX +1.1%) shares post early gains after Citigroup ups its rating to Buy and lifts its price target to $300 from $245. U.S. revenue growth is sustainable, Citi says, ""with a path to 50M subscribers by 2013,"" adding that NFLX has little competition in price, selection and  convenience; mass market adoption of tablets will help, and the mass-market adoption phase is still to come.",2011-05-02,0.012173101665849,1,1,0.8575
MSFT,"The likely winners in Microsoft's (MSFT -1.4%) Skype buy: a hodgepodge of private-equity firms, pension funds and VCs (and eBay (EBAY +2.4%), whose $620M stake goes to $2.3B - making for a total eBay payday of more than $4B).",2011-05-10,-0.007740550224157,1,1,0.6971
MSFT,"Microsoft (MSFT -1.2%) and Skype signed their deal last night after finalizing the price in mid-April, the CEOs say in their webcast, and the product will be focused on mobile devices, video chat and social features as it gets integrated into Outlook mail and other products, including the Xbox console.",2011-05-10,-0.007740550224157,0,1,0.7751
AMZN,"Amazon.com (AMZN -1.7%) shares slip as comments circulate from CEO Jeff Bezos that the company will cease affiliate operations in states that force it to collect sales tax. Amazon has already announced plans to cancel its affiliate program in Illinois, and Bezos says ""we will continue to drop states who pass those affiliate laws.""",2011-05-12,0.0104264696481783,0,1,-0.0413
NVDA,"Nvidia (NVDA -8.2%) shares slump after Needham downgrades the stock to Hold from Buy despite its solid Q1 beat and positive outlook, noting  concerns about the chip company's core graphics processor business that are not fully offset by its momentum in tablets and smartphones. Citigroup and Bank of America also cut price targets.",2011-05-13,-0.0775619318177887,0,0,0.8886
GOOG,"It's been some time coming, but Google (GOOG -1.9%) makes its first trip into the bond market with a planned $3B sale that should be ""scooped up like nobody's business."" The company had $35B in cash and marketable securities at 2010's end, but will pay back short-term borrowings as investment-grade borrowing costs are about the lowest since November.",2011-05-16,-0.0312972918751494,0,1,0.611
BA,"In ""a big win for Europe,"" the WTO partly overturns the ruling that found the EU had given illegal subsidies to Airbus (EADSY.PK +2%). While finding the subsidies still hurt U.S. interests - i.e., Boeing (BA +0.6%) - the panel didn't agree with reversing some subsidies.",2011-05-18,-0.0080166731671991,1,0,0.1511
MSFT,"If you bought LinkedIn (LNKD, now legging higher again, +155% to $115) at $45, give yourself a high-five - though that probably means you're MS, BAC and other underwriters who took advantage of the company for serious underpricing of the IPO, Henry Blodget says. LNKD may have left well over $100M on the table.",2011-05-19,0.0081485218552199,1,1,0.7904
MSFT,"From Jens Heycke, the top 5 things you could buy with $4B (um, make that $7B) instead of LinkedIn (LNKD +90%).",2011-05-19,0.0081485218552199,1,1,0.4896
