Date,Adj Close,Close,High,Low,Open,Volume,News,trend_1d,log_returns,volatility_5d,DistRoBERTa_sentiment_scores,DistRoBERTa_sentiment_vector,DistRoBERTa_adjusted_score,DistRoBERTa_raw_score,DistRoBERTa_adjusted_predictions,DistRoBERTa_raw_predictions,FinBERT_sentiment_scores,FinBERT_sentiment_vector,FinBERT_adjusted_score,FinBERT_raw_score,FinBERT_adjusted_predictions,FinBERT_raw_predictions,DeBERTa_sentiment_scores,DeBERTa_sentiment_vector,DeBERTa_adjusted_score,DeBERTa_raw_score,DeBERTa_adjusted_predictions,DeBERTa_raw_predictions
2009-07-27,17.530086517333984,29.36068725585937,29.75190734863281,29.02671813964844,29.694656372070312,21026758.0,"Wall Street News Alert:  Stocks This Morning: Green Star Alternative Energy -- July 27, 2009",-0.024374383504262992,,,"[{'label': 'neutral', 'score': 0.9997301697731018}, {'label': 'negative', 'score': 0.00022411039390135556}, {'label': 'positive', 'score': 4.580975655699149e-05}]","(0.9997301697731018, 4.580975655699149e-05, 0.00022411039390135556)",-0.660568086678948,-0.00022411039390135556,0,0,"[{'label': 'neutral', 'score': 0.925613284111023}, {'label': 'negative', 'score': 0.04214036837220192}, {'label': 'positive', 'score': 0.03224640712141991}]","(0.925613284111023, 0.03224640712141991, 0.04214036837220192)",-0.13300699197037186,-0.04214036837220192,0,0,"[{'label': 'neutral', 'score': 0.9995421171188354}, {'label': 'positive', 'score': 0.00032344262581318617}, {'label': 'negative', 'score': 0.00013452449638862163}]","(0.9995421171188354, 0.00032344262581318617, 0.00013452449638862163)",0.4125146113465234,0.00032344262581318617,0,0
2009-07-28,17.102806091308594,28.645038604736328,29.494274139404297,28.4064884185791,29.30343437194824,23627265.0,,-0.0049967206565346735,-0.024676355814383193,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2009-07-29,17.01734733581543,28.50190734863281,28.75954246520996,28.158397674560547,28.635496139526367,16696736.0,,0.002343539620140468,-0.005009246006397273,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2009-07-30,17.057228088378906,28.568702697753903,29.55152702331543,28.511449813842773,28.826335906982425,24300290.0,,0.002337993519660795,0.0023407978140169536,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2009-07-31,17.097103118896484,28.635496139526367,29.17938995361328,28.540075302124023,28.81679344177246,16269362.0,,0.0001110796796100168,0.0023352646653466147,,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2009-08-01,17.09900410970052,28.63867696126302,29.144402186075848,28.482823689778645,28.89631017049153,16279003.333333334,,0.00011106734228546873,0.00011107351071920357,0.18116658122258414,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1
2009-08-02,17.10090510050456,28.64185778299968,29.10941441853841,28.42557207743327,28.975826899210613,16288644.666666666,,0.00011105500770054377,0.00011106117476490598,0.047654962312872876,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1
2009-08-03,17.102806091308594,28.645038604736328,29.074426651000977,28.36832046508789,29.055343627929688,16298286.0,,-0.005996038153579936,0.00011104884154973833,0.019363142223359896,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2009-08-04,17.000253677368164,28.47328186035156,28.883588790893555,28.129770278930664,28.75954246520996,16077892.0,,-0.007707761150038184,-0.0060140865725201885,0.049834984713564554,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2009-08-05,16.86922264099121,28.253816604614254,28.79771041870117,27.996183395385746,28.50190734863281,13375100.0,,-0.008443113703734607,-0.007737619467151061,0.061515329372353836,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,1,1
2009-08-06,16.726795196533203,28.01526641845703,28.32061004638672,27.91030502319336,28.32061004638672,11499494.0,,0.025204404010112154,-0.008478958693056614,0.06691914895625038,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0,"[{'label': 'neutral', 'score': 1.0}, {'label': 'negative', 'score': 0}, {'label': 'positive', 'score': 0}]","(1.0, 0, 0)",0.0,0.0,0,0
2009-08-07,17.14837646484375,28.72137451171875,29.103052139282227,28.10114479064941,28.3492374420166,13656278.0,"ParagonReport.com Complimentary Market Update on Alumina Ltd. (NYSE: AWC), CSB Corporation (NYSE: CBS), Merck & Co. Inc. (NYSE: MRK) and NVIDIA Corporation (NASDAQ: NVDA)",0.005537089514653475,0.02489201125558723,0.22252924165313392,"[{'label': 'neutral', 'score': 0.9998563528060913}, {'label': 'positive', 'score': 7.625912985531613e-05}, {'label': 'negative', 'score': 6.733671034453437e-05}]","(0.9998563528060913, 7.625912985531613e-05, 6.733671034453437e-05)",0.06213564054755295,7.625912985531613e-05,1,1,"[{'label': 'neutral', 'score': 0.9370306134223938}, {'label': 'positive', 'score': 0.04264184087514877}, {'label': 'negative', 'score': 0.02032761462032795}]","(0.9370306134223938, 0.04264184087514877, 0.02032761462032795)",0.3543658759511382,0.04264184087514877,1,1,"[{'label': 'neutral', 'score': 0.9965335130691528}, {'label': 'positive', 'score': 0.003246019361540675}, {'label': 'negative', 'score': 0.00022043814533390105}]","(0.9965335130691528, 0.003246019361540675, 0.00022043814533390105)",0.872816473361214,0.003246019361540675,0,1
